Date,Country,Inflation Rate (%),GDP Growth Rate (%),Unemployment Rate (%),Interest Rate (%),Stock Index Value
2010-01-31,Brazil,1.23,0.69,10.48,7.71,21748.85
2010-01-31,France,6.76,2.59,4.27,7.39,10039.56
2010-01-31,USA,7.46,4.84,2.64,6.39,13129.1
2010-02-28,Brazil,5.43,0.31,8.26,6.09,23304.58
2010-02-28,Canada,0.69,-0.52,11.92,-0.51,16413.03
2010-02-28,Canada,6.1,9.9,11.8,8.38,17977.64
2010-02-28,Japan,8.61,4.43,11.28,6.11,25259.54
2010-02-28,USA,3.13,4.82,9.32,-0.66,10638.13
2010-03-31,Germany,0.05,-4.78,3.31,3.85,38146.22
2010-03-31,USA,7.2,-1.48,4.1,8.22,6067.71
2010-04-30,China,8.68,5.86,10.77,9.89,10505.45
2010-04-30,Germany,8.84,-2.87,4.82,3.99,25382.99
2010-04-30,UK,3.1,3.15,11.92,4.52,17208.55
2010-05-31,France,5.69,-4.86,3.61,8.79,12514.43
2010-05-31,India,8.76,4.08,10.4,5.56,24026.81
2010-05-31,Japan,9.09,3.62,10.06,7.29,16897.68
2010-06-30,France,8.38,-4.76,6.41,2.34,37646.41
2010-06-30,USA,5.56,0.87,4.54,3.34,2104.14
2010-07-31,France,6.7,2.82,7.62,-0.66,8465.68
2010-08-31,Australia,4.65,7.97,11.48,3.57,34435.05
2010-08-31,Canada,2.78,1.28,7.99,5.56,19780.42
2010-08-31,China,0.62,9.61,5.79,2.06,10880.93
2010-08-31,India,2.77,8.04,3.26,5.42,21504.49
2010-08-31,India,8.79,9.14,8.14,8.57,31618.81
2010-09-30,Australia,9.13,4.8,6.86,-0.55,1017.27
2010-09-30,Canada,5.27,-3.96,3.51,8.37,16636.73
2010-09-30,France,7.95,4.26,9.88,2.67,9010.65
2010-10-31,Brazil,8.57,5.37,7.67,0.68,29564.14
2010-11-30,Brazil,9.81,2.15,4.68,6.04,10652.89
2010-12-31,Canada,9.89,-1.48,4.78,4.78,2858.01
2010-12-31,China,9.59,9.11,6.96,1.28,2203.46
2010-12-31,China,1.61,0.57,2.82,-0.33,5457.15
2010-12-31,UK,9.68,5.21,6.88,4.8,23440.97
2011-01-31,India,6.96,7.33,8.56,9.23,35513.61
2011-01-31,UK,5.66,-3.45,3.78,3.35,32903.04
2011-01-31,USA,0.09,-1.82,11.92,-0.06,31674.37
2011-02-28,Canada,0.33,-4.69,3.14,8.13,35891.07
2011-02-28,UK,4.68,4.09,7.44,6.02,2073.25
2011-03-31,Australia,8.82,2.65,11.05,3.57,31575.51
2011-03-31,Brazil,3.34,4.03,3.08,1.38,33746.73
2011-03-31,France,2.88,7.37,6.51,5.85,20431.2
2011-03-31,France,2.27,-4.39,10.99,9.22,34353.07
2011-03-31,India,8.37,4.83,11.78,8.12,9919.08
2011-03-31,UK,3.36,1.7,8.78,5.38,8939.56
2011-04-30,Brazil,2.53,7.77,11.66,3.05,14446.48
2011-04-30,Germany,7.15,6.88,5.3,1.63,11436.43
2011-05-31,Japan,9.89,5.14,5.72,6.01,25471.98
2011-05-31,UK,2.73,9.93,10.57,8.53,14882.87
2011-06-30,France,4.66,8.08,10.96,6.94,32522.74
2011-06-30,Japan,5.25,1.64,3.66,1.08,32872.84
2011-07-31,Brazil,7.54,3.63,6.08,9.02,18288.95
2011-08-31,China,8.94,0.74,10.23,8.63,16500.48
2011-09-30,Australia,4.15,-0.06,2.69,2.26,32515.09
2011-09-30,Australia,0.89,-2.38,10.62,8.56,24219.03
2011-09-30,Brazil,1.09,-2.32,4.55,1.41,7789.19
2011-09-30,China,1.39,9.66,11.88,4.22,21379.05
2011-09-30,Japan,1.23,4.18,6.12,4.85,31150.47
2011-09-30,UK,0.18,-0.81,6.07,4.29,12134.84
2011-10-31,Brazil,4.67,6.5,10.72,3.41,15557.13
2011-10-31,Brazil,1.59,-4.73,9.08,3.79,17166.13
2011-10-31,France,1.86,3.3,2.69,-0.67,18871.15
2011-11-30,China,9.1,-2.33,2.46,1.28,17153.84
2011-11-30,USA,7.71,7.44,10.99,2.63,33296.56
2011-12-31,Brazil,4.63,3.89,7.98,4.14,27156.35
2011-12-31,China,5.34,1.99,5.2,3.94,17823.85
2011-12-31,France,5.63,1.07,5.4,4.84,14091.28
2011-12-31,Japan,3.44,4.74,11.37,9.67,20542.43
2011-12-31,USA,0.47,0.06,5.57,9.08,29836.92
2012-01-31,Canada,2.6,7.48,8.13,7.61,20996.33
2012-02-29,Canada,9.32,4.52,3.22,9.3,9398.43
2012-03-31,Australia,0.67,-2.17,8.95,4.85,15106.7
2012-03-31,Australia,9.1,2.09,8.6,8.26,10731.45
2012-03-31,Brazil,9.11,6.73,9.5,4.84,29202.0
2012-03-31,China,0.45,3.03,3.62,5.04,1078.72
2012-04-30,Brazil,2.18,3.7,3.04,3.89,22156.37
2012-04-30,Brazil,9.56,-1.91,9.51,3.58,24878.07
2012-04-30,Germany,6.45,-1.19,4.25,9.94,6834.46
2012-04-30,Japan,5.57,3.98,10.12,3.07,18940.09
2012-04-30,Japan,4.85,2.2,5.88,0.43,14141.62
2012-05-31,France,8.26,-1.82,8.21,5.28,16007.34
2012-05-31,USA,7.8,-2.3,8.63,9.18,24775.61
2012-05-31,USA,5.58,-4.03,2.25,6.97,39236.99
2012-06-30,Germany,3.92,-0.32,11.47,-0.63,5565.58
2012-06-30,USA,6.91,-3.11,7.99,0.67,1806.18
2012-08-31,Germany,7.34,6.82,11.01,0.15,34742.54
2012-08-31,USA,7.48,-1.54,5.64,9.34,8956.96
2012-09-30,Australia,5.23,7.77,9.94,6.34,22581.78
2012-09-30,Brazil,0.31,6.74,2.68,5.67,22113.41
2012-09-30,Canada,8.07,1.63,10.8,0.82,31182.34
2012-09-30,Germany,0.09,6.91,4.16,-0.93,27901.38
2012-09-30,India,5.95,0.99,10.77,7.35,25805.66
2012-09-30,Japan,7.97,1.28,8.59,2.47,8943.02
2012-10-31,Germany,4.46,-1.51,5.82,4.0,13425.75
2012-10-31,USA,4.42,-1.57,2.74,9.31,25750.93
2012-11-30,Australia,6.01,-0.88,5.91,8.04,15568.64
2012-11-30,China,6.33,9.23,5.75,3.17,37309.39
2012-11-30,Germany,2.2,-1.95,2.95,5.05,25782.3
2012-11-30,Germany,4.33,-1.01,5.41,4.47,38106.24
2012-12-31,Brazil,1.09,2.12,2.29,1.8,31684.01
2012-12-31,Brazil,0.72,0.8,4.39,3.31,1521.34
2012-12-31,France,1.14,-3.67,2.02,3.56,35945.59
2013-01-31,Canada,1.2,4.05,2.94,0.32,25072.71
2013-01-31,Germany,1.15,-2.08,5.93,6.09,27424.1
2013-01-31,India,4.06,-2.81,10.15,9.41,19068.45
2013-02-28,China,8.4,4.38,9.84,2.13,16318.96
2013-02-28,India,4.74,-0.55,6.35,-0.62,22800.24
2013-02-28,Japan,8.53,1.36,9.58,0.68,18576.77
2013-03-31,Canada,8.68,-2.44,4.18,5.02,31787.86
2013-03-31,France,1.84,7.4,3.78,7.61,3023.92
2013-03-31,France,3.29,9.42,6.85,3.15,17566.09
2013-03-31,UK,6.39,-3.37,11.75,4.24,37476.59
2013-04-30,China,5.87,9.88,9.48,9.9,38296.48
2013-05-31,Australia,7.65,6.64,7.4,9.01,17672.57
2013-05-31,UK,8.87,3.83,7.58,-0.86,35300.37
2013-06-30,Brazil,3.63,3.37,10.42,0.16,18061.8
2013-06-30,Japan,6.93,6.2,2.47,2.43,1772.03
2013-07-31,India,0.35,-3.67,11.88,3.65,14839.57
2013-07-31,India,6.07,4.44,2.65,9.42,37391.96
2013-08-31,Canada,8.0,-4.56,10.79,0.7,35216.87
2013-08-31,Canada,2.48,-2.02,11.56,2.71,18124.73
2013-08-31,China,1.32,0.14,2.53,-0.03,17164.32
2013-09-30,Canada,0.76,4.49,8.85,4.13,6608.76
2013-09-30,Canada,7.42,-4.74,10.74,3.07,16824.3
2013-10-31,Canada,0.65,1.69,5.97,4.09,37514.42
2013-10-31,India,0.37,6.59,4.76,3.42,26934.79
2013-10-31,UK,3.26,4.69,6.64,6.59,27477.01
2013-11-30,Australia,0.84,4.42,5.15,9.72,1448.21
2013-11-30,Australia,8.4,6.31,8.28,6.29,17754.74
2013-12-31,Brazil,7.31,-2.04,3.28,4.8,4272.86
2013-12-31,Canada,4.55,8.94,11.8,7.73,31609.61
2013-12-31,Canada,0.38,0.41,6.6,6.5,7712.31
2013-12-31,Germany,0.66,3.91,6.79,8.43,14606.71
2013-12-31,Japan,3.78,6.89,4.21,4.83,30319.11
2013-12-31,Japan,5.89,4.48,2.94,6.92,1260.6
2013-12-31,USA,9.63,-0.04,8.58,6.1,14751.5
2014-01-31,Canada,3.32,6.76,2.83,-0.51,38446.54
2014-01-31,Germany,6.99,0.19,9.19,1.05,21865.99
2014-01-31,India,9.04,3.96,9.98,5.1,2969.07
2014-02-28,France,9.76,9.41,5.89,2.53,3250.41
2014-02-28,France,2.81,-2.44,5.23,0.28,24197.33
2014-03-31,Brazil,5.89,-1.47,2.18,-0.76,23758.72
2014-03-31,France,6.04,2.19,4.55,1.84,32385.37
2014-03-31,France,2.51,-4.74,4.36,6.45,18503.73
2014-03-31,UK,6.08,-2.54,9.82,0.82,24519.51
2014-03-31,UK,8.68,4.13,5.14,3.24,34533.13
2014-04-30,Canada,7.74,-3.16,5.85,9.75,13093.3
2014-04-30,France,3.54,4.01,8.38,7.98,14439.56
2014-04-30,Germany,0.87,7.71,4.76,5.62,20559.1
2014-04-30,UK,1.16,5.82,3.67,4.15,5363.34
2014-05-31,Australia,0.05,8.1,6.36,7.04,24354.97
2014-05-31,Brazil,1.62,1.57,2.56,-0.58,31504.68
2014-05-31,Japan,5.28,0.76,2.54,4.86,9770.72
2014-05-31,UK,3.74,4.19,6.62,3.36,28234.14
2014-05-31,USA,5.78,3.14,7.21,1.82,6998.47
2014-06-30,Brazil,3.65,5.76,5.38,-0.01,31625.48
2014-06-30,Germany,5.15,5.04,5.63,6.87,18097.01
2014-06-30,Japan,3.97,-3.64,9.0,8.98,13167.38
2014-06-30,Japan,9.61,7.38,9.4,6.92,17356.19
2014-06-30,USA,1.84,6.52,6.96,8.77,16066.6
2014-06-30,USA,3.97,2.71,8.71,0.53,34043.6
2014-06-30,USA,1.85,-4.96,10.47,5.04,21154.81
2014-07-31,China,7.44,5.87,11.76,7.03,31592.41
2014-07-31,France,5.6,2.99,8.82,6.5,37037.05
2014-09-30,UK,9.62,9.72,2.93,0.53,12048.89
2014-10-31,Brazil,9.08,-3.0,11.71,7.37,28193.74
2014-10-31,France,1.66,4.91,10.31,5.32,10049.55
2014-10-31,India,2.39,-1.59,4.44,7.48,25880.22
2014-10-31,Japan,9.3,0.13,3.13,-0.97,33512.08
2014-10-31,Japan,8.52,-3.17,5.9,-0.54,15567.29
2014-10-31,UK,4.91,-3.95,10.97,5.53,39854.23
2014-10-31,UK,1.74,-0.29,11.04,6.8,10940.41
2014-11-30,India,4.94,7.46,2.63,8.14,8027.63
2014-11-30,UK,3.11,2.21,7.15,3.96,30779.58
2014-12-31,Germany,5.87,-2.57,6.74,6.89,16707.81
2014-12-31,India,0.49,-4.98,3.3,8.29,15948.09
2014-12-31,India,8.2,-2.57,7.77,6.12,8842.85
2014-12-31,USA,5.56,-3.93,2.86,7.39,35241.4
2015-01-31,China,2.59,-1.15,7.53,1.07,37623.23
2015-02-28,Canada,1.66,8.47,2.59,7.1,35032.8
2015-02-28,France,1.41,5.04,9.42,7.38,21110.72
2015-02-28,Germany,6.99,-0.15,7.1,3.12,9599.05
2015-02-28,Japan,2.66,9.68,3.22,0.95,7711.48
2015-02-28,Japan,4.22,8.78,3.73,0.66,34168.39
2015-03-31,Germany,8.31,-4.49,7.02,9.69,3024.14
2015-03-31,Germany,1.79,8.99,9.63,1.66,37057.88
2015-03-31,India,1.57,-2.61,10.19,4.24,31707.56
2015-03-31,USA,8.67,3.89,9.43,8.48,22235.72
2015-04-30,Canada,2.06,3.9,8.67,8.7,15702.44
2015-05-31,Canada,9.91,-3.2,4.1,1.01,21030.83
2015-05-31,China,7.53,0.59,2.92,7.98,17774.01
2015-05-31,UK,4.62,4.28,7.25,0.8,37859.45
2015-06-30,France,5.12,5.29,6.02,8.19,39982.21
2015-06-30,India,8.64,-1.14,11.88,9.99,14010.66
2015-07-31,India,9.96,4.6,3.69,8.85,9937.71
2015-07-31,UK,5.18,0.15,6.48,3.43,32480.38
2015-07-31,USA,1.85,-2.15,9.38,8.97,1863.52
2015-08-31,Australia,9.55,-0.24,5.77,-0.36,25020.56
2015-08-31,Australia,0.7,3.9,8.64,6.68,22434.64
2015-09-30,Germany,3.52,-0.07,9.06,9.44,28541.53
2015-09-30,India,0.01,-5.0,3.27,1.0,19011.9
2015-09-30,Japan,2.98,2.27,7.59,5.25,20085.68
2015-09-30,Japan,9.65,4.27,4.84,8.89,35384.84
2015-09-30,USA,2.0,7.72,10.77,5.4,7510.31
2015-10-31,Brazil,1.89,-1.41,6.2,5.07,6631.12
2015-10-31,France,0.02,3.19,2.57,4.75,38499.02
2015-11-30,India,4.71,5.32,3.67,0.62,11586.1
2015-11-30,Japan,8.97,1.2,6.88,3.26,33988.13
2015-12-31,China,9.12,-0.17,3.06,3.92,38167.78
2015-12-31,UK,8.05,-1.44,10.81,3.32,33243.12
2016-01-31,China,8.64,2.05,11.6,6.9,7937.64
2016-02-29,UK,5.98,7.51,10.69,7.91,20332.45
2016-03-31,Canada,7.26,7.32,2.38,8.4,36856.11
2016-03-31,Canada,4.41,-3.15,2.22,-0.24,36674.51
2016-03-31,India,6.83,-3.01,8.02,-0.66,11491.77
2016-03-31,UK,7.49,4.88,4.72,0.98,19137.15
2016-04-30,France,9.44,0.47,10.26,2.76,12541.77
2016-08-31,Brazil,4.72,4.81,11.89,6.16,30226.23
2016-09-30,Australia,2.13,7.61,5.76,8.9,4538.15
2016-09-30,Australia,9.84,-2.76,3.65,1.53,31283.08
2016-09-30,France,5.52,4.94,3.06,1.49,10957.05
2016-09-30,USA,9.16,-0.23,4.03,7.04,30824.05
2016-10-31,Australia,2.94,-0.74,7.58,8.02,6778.94
2016-10-31,Canada,7.59,-2.77,5.71,9.96,34176.53
2016-10-31,India,0.0,-3.32,4.26,2.37,24613.82
2016-12-31,Brazil,9.01,2.98,6.87,5.68,30399.36
2016-12-31,China,0.34,-3.78,3.57,7.8,38239.03
2016-12-31,Japan,6.62,6.9,7.45,8.73,22363.6
2016-12-31,Japan,0.91,-2.35,4.85,1.25,30400.74
2017-01-31,Australia,1.31,1.46,6.5,6.43,21743.67
2017-02-28,Canada,1.06,0.71,2.87,8.45,20477.84
2017-02-28,France,5.27,-2.12,11.82,6.06,29155.24
2017-02-28,Germany,1.82,0.96,3.81,4.37,5888.9
2017-02-28,Japan,0.35,1.85,9.33,-0.09,26505.77
2017-02-28,UK,5.21,7.97,8.52,4.48,36695.03
2017-03-31,UK,9.54,-0.67,7.86,0.46,19817.52
2017-04-30,Japan,0.77,9.03,11.71,2.06,38162.98
2017-04-30,USA,5.93,-4.38,9.46,-0.46,7867.72
2017-04-30,USA,8.01,1.56,5.42,3.44,30761.23
2017-05-31,China,9.18,-4.35,3.25,-0.98,10586.49
2017-05-31,Japan,8.37,3.96,6.24,6.43,31472.6
2017-05-31,Japan,8.22,9.05,2.18,5.33,21342.38
2017-05-31,USA,2.72,2.69,11.65,-0.26,36246.55
2017-06-30,Australia,2.48,-0.02,11.2,8.59,36153.94
2017-06-30,Australia,8.25,7.96,9.56,5.16,1393.53
2017-06-30,Australia,5.88,1.46,5.15,1.43,37464.78
2017-06-30,France,1.5,-3.09,3.71,-0.51,24842.13
2017-06-30,Germany,9.62,6.39,2.13,6.98,27408.94
2017-06-30,India,9.75,7.16,8.4,2.9,35539.17
